confidence_min,duplicate_threshold,window_size,window_step_percent,x_intersection_allowed,inner_sliding_window,intersect,crop,complex_nn,vary_lines,make_lines,bbox_precision,bbox_recall,bbox_fscore,avg_iou,class_precision,class_recall,class_fscore
0.63,0.135,1100,0.3,0.98,False,False,False,True,False,True,0.9667085427135679,0.8904532304725169,0.9270153599036242,0.7496145917126432,0.8321643821790999,0.8221789040502491,0.8232444765461188
0.63,0.14,1100,0.3,0.98,False,False,False,True,False,True,0.9667155118275068,0.8906460945033752,0.927123067657097,0.7495943747007756,0.8320149217530812,0.8220008661758337,0.8230648087859636
0.63,0.145,1100,0.3,0.98,False,False,False,True,False,True,0.9665131854332356,0.8906460945033752,0.9270300110408511,0.7495762567612372,0.8320149217530812,0.8220008661758337,0.8230648087859636
0.635,0.125,1100,0.3,0.98,False,False,False,True,False,True,0.9673821548821548,0.886595949855352,0.9252289423367214,0.7500470580795222,0.8328596778144345,0.8224929301718512,0.8236440436784996
0.635,0.13,1100,0.3,0.98,False,False,False,True,False,True,0.9674027339642481,0.8871745419479267,0.9255533199195171,0.7500267815931227,0.8327169837214049,0.822391304347826,0.8235376066864077
0.635,0.135,1100,0.3,0.98,False,False,False,True,False,True,0.9672337744171392,0.8881388621022179,0.9260004021717272,0.7499357563027911,0.8328816249030905,0.8225841476655809,0.8237237414621336
0.635,0.14,1100,0.3,0.98,False,False,False,True,False,True,0.9672406551868963,0.8883317261330762,0.9261083743842364,0.7499154168921539,0.8327327882965356,0.822405557967868,0.8235444758805455
0.635,0.145,1100,0.3,0.98,False,False,False,True,False,True,0.967037581356288,0.8883317261330762,0.9260152794531564,0.7498972517499939,0.8327327882965356,0.822405557967868,0.8235444758805455
0.64,0.125,1100,0.3,0.98,False,False,False,True,False,True,0.967701076630779,0.8840887174541948,0.9240072566014915,0.7503029758310857,0.8339760049714415,0.8237347294938918,0.8249036940715581
0.64,0.13,1100,0.3,0.98,False,False,False,True,False,True,0.9677215189873418,0.8846673095467695,0.9243324937027707,0.7502824745032697,0.8338322846584182,0.8236320034881186,0.8247961731333447
0.64,0.135,1100,0.3,0.98,False,False,False,True,False,True,0.9675652906486942,0.8860173577627772,0.9249974831370181,0.750148302350889,0.83398262530007,0.8236830648672181,0.8248716754656108
